idiom,num_contexts,contexts
a  veces ,326,"Por  lo  tanto ,  a  veces  los  datos  que  están  disponibles  para  la  recopilación  impactan  la  estrategia  en  línea . ||| Ella  se  acredita  a  veces  como  "" Christina  Tucci "" . ||| Un  popular  escritor  de  la  época  fue  Unno  Juza ,  a  veces  llamado  "" el  padre  de  la  ciencia  ficción  japonesa "" . ||| A  pesar  de  que  los  sistemas  de  salud  en  Polonia  son  gratuitos  para  las  personas  cubiertas  con  seguro  de  salud,​  a  veces  estos  son  lentos . ||| El  evento  de  Tunguska  se  explica  a  veces  de  esta  manera . ||| Este  desempeño  se  utiliza  a  veces  en  lugar  del  vídeo  principal . ||| De  hecho ,  a  veces  debe  elegir  deliberadamente  el  mal . ||| Hannah  también  a  veces  intenta  usar  su  doble  personalidad  como  excusa . ||| Ella  es  también  muy  adinerada  y  a  veces  puede  encontrarse  ayudando  a  Kotaro  con  Chinami . ||| El  presidente  Polk  a  veces  discutía  asuntos  de  política  con  ella ."
en  febrero ,1,Regresó  en  febrero  de  1982  en  Batman  # 344 .
La  milica ,1,La  milica  arrestó  rápidamente  a  Smith  y  a  los  otros  líderes .
dé  cuenta  de ,1,Ejemplos  de  O'Donnell  incluyen :  Cualquier  cuerpo  suspendido  en  el  espacio  permanecerá  en  el  espacio  hasta  que  se  dé  cuenta  de  su  situación .
hasta  nuevo  aviso ,1,"En  Carolina  del  Sur ,  en  26  condados  del  este ,  las  escuelas  públicas  permanecieron  cerradas  hasta  nuevo  aviso  a  partir  del  10  de  septiembre ."
de  un  golpe ,1,"Los  Estados  Unidos  se  opusieron  al  gobierno  no  elegido  de  Fiji ,  que  llegó  al  poder  a  través  de  un  golpe  militar  en  diciembre  de  2006 ."
en  Brujas,1,"Creció  en  Brujas ,  donde  fue  instruido  por  Cruquius ,  entre  otros ."
el  Mark ,1,"A  diferencia  de  otros  Centinelas ,  el  Mark  VIII  requiere  un  piloto  humano ."
en  Bloomsbury ,1,"Sin  embargo ,  en  la  adaptación  musical  Oliver ! ,  vive  en  Bloomsbury  Square ."
en  Bayside ,1,Los  oficiales  representados  en  Bayside  Shakedown  solo  pueden  portar  armas  de  fuego  durante  emergencias  mayores .
dejen  caer ,1,No  dejen  caer  toda  la  carga  sobre  Len  Boyd .
se  comercializan,1,"En  el  diseño  de  plantas ,  normalmente  menos  del  1  por  ciento  de  las  ideas  para  nuevos  diseños  alguna  vez  se  comercializan ."
abrió  camino ,1,"En  este  sentido ,  también  abrió  camino  para  las  nuevas  generaciones ."
pueda  que ,1,"Señaló  que  "" los  padres ,  madres  y  esposas  se  les  debe  dar  prioridad  a  las  habitaciones  porque  pueda  que  sea  la  última  vez  que  vean  a  sus  hijos  y  maridos "" ."
Estás  de  pie ,1,""" Estás  de  pie  sobre  las  tumbas  de  los  últimos  1500  judíos  de  Rawa-Ruska , ""  dijo  el  alcalde ."
En  breve,1,"En  breve ,  hay  un  infinito  número  de  cosas  bellas  además  de  bellas  mujeres ."
al  Peloponeso ,1,Llegaron  al  Peloponeso  en  1205 .
cambiaron  de  opinión,1,Pero  las  autoridades  fiduciarias  de  EE.UU.  cambiaron  de  opinión .
cambiara  de  idea,1,"Si  alguna  vez  cambiara  de  idea ,  asumiría  el  título ."
en  la  botella ,1,He  visto  bebés  en  el  agua  y  bebés  en  botellas ;  el  bebé  en  el  agua  no  estaba  en  una  botella  y  el  bebé  en  la  botella  no  estaba  en  el  agua .
echó  a  la  calle ,1,"« La  afición  se  echó  a  la  calle  al  grito  de  "" ¡ Fabri ,  Fabri ,  Fabri ! "" » ."
en  Bruselas​.,1,La  asociación  tenía  un  Consejo  Provisional  de  30  miembros  y  su  primera  sede  estaba  en  Bruselas​.
sin  máscara ,1,Preliminary  study  to  La  Inquisición  sin  máscara  ( Antonio  Puigblanch ) .
tomó  la  palabra,1,"Primero ,  Laura  Hart  McKinny  tomó  la  palabra ."
no  saben  qué ,1,Nuestros  amigos  rurales  casi  no  saben  qué  idiotas  tiene  Londres .
En  Bélgica,1,"En  Bélgica ,  se  dice  que  los  campos  están  completamente  desolados ."
en  Bolero,1,"En  marzo ,  participó  en  Bolero ,  un  famoso  trabajo  de  ballet ."
la  margarita ,1,"El  folklore  mexicano  afirma  que  se  utilizó  en  la  margarita  "" original "" ."
cuando  menos ,1,"Existe  incertidumbre  sobre  Merle ,  como  si  regresara  cuando  menos  lo  esperas ."
entra  en  vigor,1,Una  fecha  efectiva  que  indica  cuando  la  política  entra  en  vigor .
orden  del  día ,1,Mary  Robinson  hubo  también  dijo  que  los  conflictos  políticos  regionales  no  tendrían  que  ser  impuestos  al  orden  del  día  de  la  conferencia .
en  BALTOPS ,1,"En  el  verano  de  1992 ,  el  Yorktown  participó  en  BALTOPS  ' 92 ."
cambia  de  manos,1,« El  Real  Avilés  cambia  de  manos » .
en  Boas ,1,Las  condiciones  de  sumabilidad  se  discuten  en  detalle  en  Boas  &  Buck .
hizo  la  paz ,1,"Florent  hizo  la  paz  y  la  mantuvo  hasta  1293 ,  cuando  los  griegos  retomaron  Kalamata ."
en  ba- ,1,"Es  decir ,  algunos  animales  eran ,  o  estaban  contenidos ,  en  ba-  una  parte  del  alma  que  es  un  agente  activo  en  este  mundo  y  en  el  mundo  espiritual ."
que  él  quiere ,1,"El  cielo  puede  ser  el  límite  del  capital  político  de  Nucky ,  pero  todo  lo  que  él  quiere  son  sus  carreteras  hacia  Atlantic  City ."
La  marquesa ,1,( « La  marquesa  no  tendrá  buen  tiempo  para  su  viaje . » ) .
damos  el  primer  paso ,1,Nosotros  hoy  damos  el  primer  paso  al  reconocer  el  pasado  y  reivindicando  un  futuro  que  abraza  a  todos  los  australianos .
perdieron  la  cabeza,1,"Los  corleonesi  y  las  familias  vencedoras  perdieron  la  cabeza . """
en  Brentford,1,"En  1800 ,  ella  y  algunas  de  sus  hijas  fueron  obligadas  a  mudarse  a  otra  casa  en  Brentford ."
a  sus  pies ,1,Tres  de  las  cuatro  bellezas  tuvieron  reinos  a  sus  pies  y  su  vida  acabó  en  tragedia .
tiene  cuidado ,1,"Debido  a  que  es  tan  genuinamente  radical ,  la  mayoría  de  los  líderes  de  la  derecha  religiosa  tiene  cuidado  de  distanciarse  de  él ."
a  la  paraolímpica ,1,"Tuvimos  a  la  paraolímpica  Tanni  Grey-Thompson  como  Ministra  de  Deportes ,  y  les  pedí  que  aportaran  sugerencias  prácticas ."
dio  resultados,1,"Theodicia  envió  sus  medicinas  desde  Estados  Unidos ,  pero  no  dio  resultados ."
hacen  amigos,1,"Se  hacen  amigos ,  y  pronto  Natsuki  se  va  a  vivir  a  la  misma  ciudad ."
cambiaría  de  opinión,1,"Como  muchos  presentaron  sus  inquietudes ,  Mao  no  cambiaría  de  opinión ."
De  verdad ,1,¿ De  verdad  la  gente  piensa  eso ?
en  planificación ,1,Fueron  suficientes  15  años  de  práctica  para  que  la  técnica  se  extendiera  y  se  organizara  el  primer  “ Encuentro  de  ciudades  europeas  y  americanas  para  el  intercambio  de  experiencias  en  planificación  estratégica ” .
doy  cuenta  de ,1,"Me  doy  cuenta  de  que  los  tres  gobiernos  tomaron  esta  acción  no  por  iniciativa  propia  o  en  respuesta  a  los  deseos  de  sus  propios  pueblos ,  sino  como  los  instrumentos  de  Hitler ."
a  la  parálisis ,1,"Esto  puede  conducir  a  la  parálisis  de  la  región  afectada ,  como  en  el  caso  de  saxitoxina ."
El  marcador ,1,El  marcador  de  tema  es  una  de  las  muchas  partículas  japonesas .
De  igual  modo ,1,De  igual  modo  el  pOH  también  es  7 .
en  tantas ,1,El  hecho  de  que  las  ametralladoras  Bren  hayan  permanecido  en  servicio  durante  tantos  años  con  tantos  países  diferentes  en  tantas  guerras  dice  mucho  sobre  la  calidad  del  diseño  del  arma .
de  primer ,1,"Creo  que  si  lograra  mis  objetivos ,  podría  marcar  una  gran  diferencia  en  el  crecimiento  del  tenis  en  Canadá  y  ayudar  a  producir  más  jugadores  de  primer  nivel  en  el  futuro "" ."
en  bailes ,1,"Ambos  estilos  se  pueden  encontrar  en  bailes  sociales  y  competitivos ,  pero  la  versión  internacional  es  aceptada  más  globalmente  como  un  estilo  competitivo ."
Las  Margaritas,1,Polígono  Industrial  Las  Margaritas .
Por  cierto ,1,"Por  cierto  tiempo  había  una  guerra  civil  cada  nueve  años  entre  cristianos  y  paganos ,  y  este  fue  el  año  de  la  última  batalla ."
en  Belém,1,La  ciudad  tenía  otros  nombres  antes  de  convertirse  eventualmente  en  Belém .
En  Bat ,1,"En  Bat  Pussy ,  el  acento  de  esa  chica  es  hilarante "" ."
tenían  algo  que  ver  con ,1,"Si  la  política  y  la  religión  tenían  algo  que  ver  con  eso ,  no  lo  sé ,  pero  se  comportaron  como  animales ."
en  otro  tiempo,1,"Con  odiosas  comparaciones  de  lo  que  fuimos  en  otro  tiempo . """
los  militantes,1,"« El  voto  directo  de  los  militantes ,  baza  de  Santamaría  para  medirse  con  el  ' aparato ' » ."
el  Mardi ,1,Ni  siquiera  contaría  el  Mardi  Gras  y  nadie  más  debería  hacerlo .
en  barricas ,1,Su  color  original  es  blanco  puro ;  reciben  sus  colores  en  barricas  separadas .
dio  resultados ,1,"Sólo  la  prueba  bayesiana  dio  resultados  definitivos ,  pero  con  una  distancia  entre  los  intervalos  de  menos  de  0.15% ."
Haciendo  caso  omiso ,1,"Haciendo  caso  omiso  del  color ,  todos  los  sistemas  de  televisión  funcionan  esencialmente  de  la  misma  manera ."
mala  sangre ,1,"Dio  las  gracias  a  los  fans ,  y  dio  a  entender  que  no  había  mala  sangre  entre  los  cuatro ."
que  lo  quería ,1,Afirmó  que  Luger  robó  el  título  de  él  en  1987  y  que  lo  quería  de  vuelta .
en  BAN,1,2014 :  Finalista  en  BAN !
Otra  Vez ,1,Mala  ( 2008 )  Una  y  Otra  Vez  ( 2009 )  Sin  Pensarlo  ( 2009 )  Sería  Lamentable  ( 2010 )  Oportunidad  Perdida  ( feat .
hizo  amigos ,1,Encajó  bien  en  Warrington  e  hizo  amigos  rápidamente .
por  finalidad ,1,El  organismo  regional  cuenta  con  dos  Oficiales  de  Desarrollo  que  tienen  por  finalidad  continuar  elevando  el  nivel  de  tenis  en  la  región .
la  Maratón ,1,"Muchos  de  los  invitados ,  en  su  mayoría  turistas  chinos  que  se  quedan  en  la  ciudad  para  la  Maratón  Internacional  de  Harbin  2018 ,  estaban  dormidos ."
Entró  en  vigor ,1,"Entró  en  vigor  dos  meses  después ,  aunque  la  ratificación  del  tratado  por  la  Asamblea  Nacional  nunca  fue  asegurada ."
Llevaron  a  cabo ,1,Llevaron  a  cabo  un  número  junto  con  Morning  Musume  y  Cute .
a  lo  mejor ,1,Pero  entonces  una  de  las  chicas  dice  que  el  Joker  no  ha  llegado  a  verlas  esta  vez  y  que  a  lo  mejor  ha  encontrado  una  chica  nueva  en  su  lugar .
en  planos,1,"El  diseño  debe  ser  tridimensional ,  las  personas  viven  en  volúmenes ,  no  en  planos "" ."
-por  lo  general ,1,Estas  creencias  se  expresan  individualmente  -por  lo  general  en  círculos  académicos-  o  a  través  del  grupo  de  presión  republicano  del  país .
cosas  malas,1,"Por  ejemplo ,  nos  dijeron  que  nunca  debíamos  aproximarnos  a  la  villa  blanca  cercana  al  Tiberio ,  porque …  allí  pasaban  cosas  malas ."
en  Burlington,1,"Desde  2000 ,  se  han  invertido  24  millones  de  dólares  en  renovaciones  y  ampliaciones  en  Burlington ."
En  Barton ,1,"En  Barton  Fink ,  podríamos  haberlo  incentivado  — como  provocar  a  animales  en  el  zoológico — ."
haciendo  el  amor,1,El  juego  termina  con  Gex  y  Xtra  haciendo  el  amor .
No  sé  qué ,1,No  sé  qué  gas  es .
el  Maratha ,1,"Sea  pronto  reemplazado  por  Abhay  Singh ,  quién  también  reconoció  el  Maratha  derechos  de  recoger  impuestos ."
En  bivectors ,1,En  bivectors  y  biquaternions  una  unidad  imaginaria  adicional  h  está  utilizado .
Más  papista  que  el  Papa,1,Más  papista  que  el  Papa .
en  Blackhawk ,1,"Ella  se  empleó  brevemente  en  Blackhawk  Airways  en  Singapur  en  1947 ,  pero  se  perdió  de  vista  al  poco  tiempo ."
en  Bután,1,"El  Instituto  cuenta  con  una  biblioteca  que  data  de  alrededor  de  1616 ,  cuando  se  introdujo  el  budismo  tibetano  en  Bután ."
En  bretón ,1,"En  bretón  antiguo  y  medieval ,  era  extremadamente  raro  escribir  las  mutaciones  consonánticas ."
tienen  algo  que  ver  con ,1,"Aunque  algunas  teorías  utilitaristas  podrían  buscar  maximizar  otras  consecuencias ,  estas  consecuencias  por  lo  general  tienen  algo  que  ver  con  el  bienestar  de  las  personas  ( o  de  las  personas  y  los  animales  no  humanos ) ."
en  Basilicata ,1,Los  días  3  y  4  de  abril  de  2005  se  celebraron  elecciones  regionales  en  13  regiones  italianas  ( las  elecciones  en  Basilicata  se  postergaron  durante  dos  semanas  debido  a  irregularidades ) .
el  Margraviato ,1,Esto  no  fue  aceptado  por  el  Margraviato  de  Brandeburgo  y  provocó  varios  conflictos  militares .
el  Marxismo,1,"Además ,  el  Marxismo ,  al  tiempo  que  reconoce  las  contradicciones  sociales ,  sigue  utilizando  las  explicaciones  funcionalistas ."
prestando  atención,1,"Sin  embargo ,  los  sorprende  con  diagnósticos  rápidos  y  acertados ,  luego  de  parecer  que  no  estaba  prestando  atención ."
pasan  por  alto,1,Muchos  productos  tienen  atributos  de  umbral  que  se  pasan  por  alto .
por  finalizar,1,"Todos  los  servicios  relacionados  con  el  fútbol  se  completaron  en  ese  momento ,  pero  el  espacio  de  oficinas  y  algunos  trabajos  de  exteriores  aún  estaban  por  finalizar ."
las  Mary ,1,"Mientras  las  Mary  Janes  intentan  actuar  en  un  concierto ,  un  asesino  se  envía  después  del  padre  de  Gwen  Stacy ,  que  está  en  la  audiencia ."
él  comenzara ,1,Fue  guitarrista  de  muchos  directores  de  música  antes  de  que  él  comenzara  a  componer  música .
en  BigDog,1,Aproximadamente  50  sensores  están  ubicados  en  BigDog .
las  mil ,1,"En  otras  palabras ,  donde  El  héroe  de  las  mil  caras  dibuja  tal  vez  más  desde  la  psicología ,  los  libros  de  Las  máscaras  de  Dios  lo  hacen  más  desde  la  antropología  y  la  historia ."
en  Búsqueda ,1,""" William  Woods  Holden :  en  Búsqueda  de  la  vindicación . """
las  Marcas,1,El  objetivo  de  la  investigación  era  seguir  alemanes-americanos  que  habían  comprado  las  Marcas .
en  nombre ,1,La  sociedad  cotiza  en  nombre  de  los  colonos  en  Buenos  Aires  y  actuó  como  un  banco  con  14  sucursales .
las  Mil ,1,El  Estado  de  Florida  compró  las  Mil  Islas  en  1988 .
en  Build-A-Bestie,1,Esto  resulta  en  su  construcción  Crash  en  Build-A-Bestie .
dando  a  conocer ,1,"Desde  entonces  se  ha  convocado  cada  año  en  más  de  150  países ,  dando  a  conocer  los  problemas  detrás  de  la  pobreza  y  el  hambre ."
perdiendo  el  tiempo ,1,"Nadie  sabía  lo  que  se  estaba  haciendo  en  Oak  Ridge ,  ni  siquiera  yo ,  y  mucha  gente  pensó  que  estaba  perdiendo  el  tiempo  aquí ."
los  milleritas ,1,Dunton  señala  que  había  cuatro  doctrinas  divisivas  principales  discutidas  por  los  milleritas  alrededor  de  la  época  de  la  Conferencia  de  Albany :  Profecías  bíblicas  relacionadas  con  los  judíos  .
en  Belfast ,1,"Mientras ,  Irlanda  del  Norte  ( como  parte  del  Reino  Unido )  estaba  en  guerra  y  los  astilleros  Harland  y  Wolff  en  Belfast  estaban  entre  los  objetivos  estratégicos  para  los  ataques  alemanes ."
en  Berchtesgaden,1,"Visitó  a  su  madre  de  forma  esporádica ,  mientras  ella  estaba  viviendo  en  Berchtesgaden ."
los  maronitas ,1,"Sin  embargo ,  los  maronitas  tienen  que  cumplir  con  ciertos  requisitos ."
en  Bayog,1,"8  de  Mayo ,  el  festival  tribal  entre  las  diversas  tribus  que  residen  en  Bayog ."
Tenemos  cuidado ,1,Tenemos  cuidado  para  que  no  se  conocen  los  verdaderos  amos  del  ejército .
la  maravillosa ,1,Schweiz  le  cuenta  de  la  maravillosa  droga  disponible  en  el  salvaje  país  sureño  de  Sumara  Bothan .
en  Bardai,1,"La  ciudad  fue  invadida  por  los  turcos  en  torno  a  1908 ,  y  para  1911  tenían  60  hombres  y  seis  cañones  en  Bardai ."
de  nariz ,1,El  diseño  distintivo  de  agujas  de  nariz  fue  utilizado  anteriormente  en  el  MP4-19  en  2004 .
Los  militaristas ,1,Los  militaristas  están  interesados  en  la  defensa  de  Tropico .
en  Bel ,1,"Ellos  deciden  a  visitar  a  sus  padres  en  Bel  Air ,  California  para  averiguar  lo  que  pasó ."
en  seres  desalmados ,1,Tampoco  puede  funcionar  en  seres  desalmados  como  Centurious .
metió  la  pata ,1,El  diablo  metió  la  pata  ( 1980 )  dir .
tuvo  ganó ,1,"Como  resultado ,  el  DOS  3.0  fue  extremadamente  impopular  y  no  tuvo  ganó  aceptación  entre  la  comunidad  de  usuarios  de  Atari ."
cierra  la  boca ,1,"Sin  embargo ,  la  mano  de  Dios  funciona  de  la  misma  manera  en  las  situaciones  de  las  dos  personas :  él  cierra  la  boca  de  los  leones ."
que  le  quedaban,1,"En  los  años  que  le  quedaban ,  algunas  de  sus  obras  más  innovadoras  y  desafiantes  se  desarrollarían  en  este  campo ."
en  Brasilia ,1,Este  sistema  permite  que  los  accidentes  de  importancia  nacional  sean  investigados  por  el  Comando  General  en  Brasilia  en  tiempo  real .
De  otro  modo ,1,De  otro  modo  probablemente  termines  duplicando  tu  código .
Los  margraves ,1,Los  margraves  de  Babenberg  controlaban  muy  poco  de  la  Austria  moderna .
está  de  pie,1,También  cuelga  relajada  cuando  el  gato  está  de  pie .
hace  historia,1,« Informe  de  fin  de  semana :  Harry  hace  historia » .
salir  del  armario ,1,"Incluso  llega  a  decir :  "" estoy  preparado  para  salir  del  armario  como  algún  tipo  de  verificacionista "" ."
en  Billions ,1,"Desde  2016 ,  ha  aparecido  en  Billions  como  Bryan  Connerty ."
de  un  tirón ,1,Él  lo  explica  de  esta  manera :  «  Fue  escrita  de  un  tirón  en  la  mesa  de  un  bar  de  Bvar .
tengan  lugar ,1,Esto  es  preferible  a  un  sistema  en  que  los  cambios  políticos  tengan  lugar  a  través  de  la  violencia .
abrieran  camino,1,"Como  él  dijo ,  que  era  el  momento  para  que  las  nuevas  generaciones  se  abrieran  camino ."
Por  añadidura,1,"Por  añadidura ,  Wang  comenzó  a  mostrase  en  desacuerdo  con  Mao  en  asuntos  principales  sobre  el  Frente  Unido ."
en  Belfius,1,"En  2012 ,  Dexia  Belgium  se  convirtió  en  Belfius ."
el  Milán ,1,Todos  los  acuerdos  entre  el  Milán  y  el  Barcelona  se  confirmaron  el  18  de  junio  de  2011 .
en  Bosnia,1,"Por  eso ,  él  decidió ,  en  1914 ,  inspeccionar  el  ejército  en  Bosnia ."
en  Buscando ,1,Ahí  está  Diane  Keaton  en  Buscando  al  Sr.  Goodbar .
en  ristre ,1,Recuerdo  que  junto  a  varios  amigos  aprovechábamos  los  fines  de  semana  para  irnos  con  los  caballetes  en  ristre  a  la  zona  de  El  Rincón  o  La  Laja .
de  primeras ,1,Martin  financió  la  puesta  en  marcha  de  la  compañía  al  vender  su  gran  colección  de  primeras  ediciones  raras .
que  él  quiere,1,""" El  gobierno  cree  que  el  Sr.  Ahmad  posee  información  que  él  quiere ,  pero  que  no  puede  extraer  sin  torturarlo . """
En  cualquier  caso ,1,"En  cualquier  caso  bien  sea  para  adquirir  más  felicidad  o  reducir  la  miseria ,  tu  tienes  que  ejercitar  tu  libre  albedrío  en  el  presente . »"
en  Bodley ,1,Discutió  la  idea  con  un  colega  en  Bodley  Head  y  Allen  Lane  saltó  a  ella .
los  marsupiales,1,"Los  jóvenes  nacían  no  muy  desarrollados ,  como  es  típico  de  los  marsupiales ."
Tuvo  lugar ,1,Tuvo  lugar  48  horas  después  de  la  caída  del  pueblo  al  ejército  iraní .
prestase  atención ,1,Le  dije  a  Brendon  que  prestase  atención  especial  a  esa  línea . »
tienen  subdivisiones ,1,Solo  10  municipios  en  Alemania  tienen  subdivisiones  administrativas  de  quinto  nivel  y  todos  ellos  están  en  Baviera .
enviando  embajadores ,1,También  pasó  el  invierno  enviando  embajadores  a  los  germanos  en  busca  de  aliados .
llevaran  a  cabo ,1,"Sin  embargo ,  al  mismo  tiempo ,  Beck  ordenó  que  se  llevaran  a  cabo  los  preparativos  militares ."
en  bibliotecas,1,"Muy  pocas  ediciones  originales  han  sobrevivido  las  dos  guerras  mundiales ,  por  lo  que  es  difícil  encontrarlas  en  bibliotecas ."
por  Mi  parte,1,"Debes  erigir  aquí  un  lugar  de  reparación ;  por  Mi  parte ,  será  un  lugar  de  gracias ."
quisiera  decirle ,1,"Quiero  escapar ,  pero  siento  como  si  quisiera  decirle  algo ,  y  Pran  entendía ."
Cuatro  Ojos(四目道長,1,"Anthony  Chan  como  el  Sacerdote  Cuatro  Ojos(四目道長 ) ,  Amigo  de  Kau ."
El  marwari ,1,El  marwari  actualmente  no  tiene  estatus  oficial  como  lengua  de  educación  y  gobierno .
A  sabiendas ,1,"A  sabiendas  o  no ,  dice ,  "" los  nazis  eran  agentes  religiosos "" ."
A  los  parientes ,1,A  los  parientes  de  Wong  se  les  permitió  visitarlo  en  ocasiones .
por  financiar ,1,"También  fue  conocido  por  financiar  las  misiones  religiosas  y  las  causas  políticas  conservadoras ,  incluido  el  Partido  Republicano ."
Riphagen  había ,1,"Hacia  el  final  de  1943 ,  Riphagen  había  recogido  una  pequeña  fortuna ,  que  depositó  en  varias  cuentas  en  Bélgica  y  Suiza ."
de  bandera,1,"No  es  una  bandera  registrada  oficialmente ,  pero  consiste  en  el  logotipo  de  la  ciudad  utilizado  en  forma  de  bandera ,  y  desde  1996  ha  cambiado  cada  vez  que  el  logotipo  de  la  ciudad  ha  cambiado ."
Él  comenzó ,1,Él  comenzó  a  componer  para  ese  instrumento .
di  la  espalda ,1,"Pero  yo  le  di  la  espalda  a  ésta ,  o  mi  otra  mejilla ,  o  como  quieras  llamarlo ."
en  el  armario ,1,"Carlos  está  furioso ,  pero  Gabrielle  señala  que  él  es  el  hombre  escondido  en  el  armario  ahora ."
tales  cualidades ,1,"Pero  tales  cualidades  no  requieren  mucha  repetición ,  y  se  reiteran  más  allá  de  los  límites  tolerables "" ."
perdió  la  cabeza ,1,La  jirafa  perdió  la  cabeza  y  el  cuello .
en  Berlín ,1,"Él  me  respondió ,  pensando  que  los  políticos  en  Berlín  había  perdido  los  nervios  a  las  complicaciones  políticas  o  diplomáticas :  "" Proclamation  already  published .  ..."
Fuera  de  servicio ,1,Fuera  de  servicio  desde  1995.​  AzerbaiyánAzerbaiyán  Fuerza  Aérea  Azerbayana :  10  aviones  heredados  de  la  Unión  Soviética .
de  primera ,1,Esta  es  considerada  una  pistola  de  primera  generación .
quise  decir ,1,No  quise  decir  que  él  fuera  el  único  autor ;  ése  es  un  mito .
en  B92,1,"En  2004  la  serie  fue  emitida  en  su  totalidad  en  B92 ,  mientras  que  en  República  Checa  todos  los  episodios  fueron  presentados ."
Otras  veces,1,"Otras  veces ,  simplemente  causó  que  una  sola  persona  perdiera  temporalmente  su  esperanza ."
en  BITS,1,"Ahora  con  la  seguridad  como  parte  de  la  familia  de  arquitecturas ,  se  ha  convertido  en  BITS ."
menos  maléfica ,1,Vicky  es  mucho  menos  maléfica  que  en  la  serie  actual .
en  líneas  generales ,1,"En  los  primeros  dos  o  tres  años  de  su  existencia ,  su  postura  política  fue  en  líneas  generales  liberal ."
quieres  decir ,1,¿ Qué  quieres  decir  con  hablar  con  un  muerto ?
en  Buffalo,1,"Algunos  dudaban  de  que  el  sistema  generara  suficiente  electricidad  para  la  industria  de  energía  en  Buffalo ,  Nueva  York ."
En  tanto,1,"En  tanto ,  Richard  Kieckhefer  sugiere  que  entrar  en  un  edificio  religioso  es  una  metáfora  de  entrar  en  una  relación  espiritual ."
hace  historia ,1,« Mujer  palestina  hace  historia  en  el  parlamento  israelí » .
con  leche,1,"Una  variante ,  la  cual  es  la  más  consumida  en  el  país ,  es  la  mazamorra  con  leche ."
El  Martin ,1,El  Martin  316  fue  declarado  ganador  en  1956  y  recibió  la  designación  XB-68 .
de  corazones,1,El  primer  capítulo  discute  el  hecho  de  que  la  misión  de  la  Iglesia  sigue  siendo  la  conversión  de  corazones .
en  Beulah ,1,"Fue  encontrado  siete  días  después  en  Beulah  Hill  por  un  perro  llamado  "" Pickles "" ."
en  Bate ,1,Muchos  de  sus  poemas  también  aparecieron  en  Bate  y  Beatific  II  en  1959 .
podría  quedársela,1,Luego  dijo  que  quien  lograse  sacar  la  espada  podría  quedársela .
en  Bi-Mon-Sci-Fi-Con,1,"En  "" Mayored  to  the  Mob "" ,  ALF  aparece  en  Bi-Mon-Sci-Fi-Con ."
en  el  actor ,1,No  creo  en  el  actor  repetidor  de  un  texto .
en  Bhutan ,1,Gay  en  Bhutan  —  grupo  de  Facebook .
en  BBU ,1,La  primera  aerolínea  de  bajo  coste  que  se  estableció  en  BBU  fue  Blue  Air  en  2004 .
tuviera  lugar ,1,"Fury  quería  que  la  pelea  tuviera  lugar  en  el  Reino  Unido ,  mientras  que  Parker  prefería  que  fuera  en  Nueva  Zelanda ."
en  Brownsville,1,Llevó  esta  tienda  hasta  1938  y  también  operaba  una  similar  en  Brownsville .
bien  recibida ,1,La  Cuarta  también  fue  bien  recibida  en  Birmingham  en  septiembre .
en  barrica ,1,El  tiempo  mínimo  que  debe  permanecer  en  barrica  es  de  un  año .
acabó  después ,1,"Su  emparejamiento  acabó  después  de  cinco  meses  de  resultados  decepcionantes ;  comenzando  con  el  Western  &  Southern  Open ,  ambos  han  jugado  con  diferentes  parejas ."
a  lo  lejos ,1,Se  ven  unos  espíritus  a  lo  lejos  y  oyes  un  diálogo  deThaddeus  Thatch .
en  Bengkulu,1,Rumah  Berbumbung  Lima  -  Predominantemente  se  encuentra  en  Bengkulu .
dado  cuenta  de ,1,"Para  el  19  de  enero ,  el  liderazgo  iraquí  se  había  dado  cuenta  de  que  no  podían  involucrar  abiertamente  a  las  fuerzas  aéreas  de  la  coalición ."
dieron  a  conocer,1,"Otros  dos ,  Jack  Wayne  y  Cyndi ,  se  dieron  a  conocer ,  pero  se  desconoce  cuántas  otras  personalidades  pueden  existir ."
a  la  partición ,1,"Esto ,  y  la  posterior  Guerra  de  Independencia  irlandesa ,  condujo  a  la  partición  de  Irlanda ."
Por  mi  parte,1,"Por  mi  parte ,  ni  voy  a  decepcionar  a  mis  conciudadanos  ni  voy  a  ser  dictador  para  ningún  propósito ."
menos  malvada,1,"Es  mucho  menos  violenta  que  Billion  y  Dongoros ,  pero  no  es  menos  malvada ."
en  Baton ,1,El  tiroteo  provocó  protestas  en  Baton  Rouge  y  la  solicitud  de  una  investigación  de  derechos  civiles  por  el  Departamento  de  Justicia  de  los  Estados  Unidos .
cuatro  ojos,1,"Lo  refieren  generalmente  simplemente  como  "" cuatro  ojos ""  por  personas  ajenas  a  la  unidad  Mikumo ."
hacen  historia,1,"Para  Ferguson ,  las  grandes  fuerzas  no  hacen  historia ;  los  individuos  la  hacen ,  y  nada  está  predeterminado ."
a  la  larga,1,"Esto  de  hecho  podría  actuar  en  ventaja  de  Diaspora  a  la  larga ,  ya  que  tendrá  más  tiempo  para  construir  un  sentido  de  comunidad ."
los  marineros,1,"Esto  es  más  conocido  internacionalmente  como  el  Maelstrom ,  temido  por  todos  los  marineros ."
tuviera  en  cuenta ,1,Se  esperaba  que  este  órgano  revisara  nuevas  directivas  ordenadas  por  el  ministro  y  tuviera  en  cuenta  sus  éxitos  y  fracasos .
